order_id,user_id,product_id,quantity,order_date
1,881,43,1,2025-05-09
2,527,31,3,2025-05-01
3,686,63,2,2025-02-15
4,553,17,5,2025-05-21
5,591,61,2,2024-12-23
6,804,61,4,2025-05-02
7,195,13,1,2025-09-25
8,675,56,3,2024-12-23
9,434,53,4,2025-05-12
10,885,94,1,2025-08-23
11,690,84,1,2025-01-20
12,63,52,3,2025-06-26
13,820,14,2,2025-07-03
14,197,25,5,2025-05-13
15,460,18,4,2024-10-20
16,188,36,4,2025-02-13
17,256,10,4,2025-01-15
18,828,71,1,2024-11-23
19,52,84,5,2024-12-12
20,857,2,1,2024-10-12
21,949,97,2,2025-09-01
22,171,53,4,2025-05-05
23,493,28,4,2025-09-10
24,925,8,2,2025-06-26
25,389,1,4,2025-01-27
26,272,59,3,2025-01-08
27,434,90,5,2025-05-22
28,678,92,4,2025-07-04
29,159,25,3,2025-04-07
30,223,8,5,2025-09-21
31,754,70,1,2025-05-24
32,766,41,1,2025-01-12
33,52,75,4,2024-10-07
34,515,68,2,2025-08-04
35,59,66,1,2025-01-28
36,872,24,1,2024-12-26
37,610,9,2,2025-04-14
38,414,16,5,2025-08-26
39,253,75,5,2025-05-30
40,41,80,1,2024-12-28
41,430,85,5,2025-06-07
42,579,67,3,2025-06-19
43,958,34,2,2025-05-09
44,686,92,3,2025-02-15
45,245,34,4,2025-01-24
46,135,86,3,2025-03-09
47,469,41,1,2024-10-01
48,10,59,5,2025-08-13
49,577,13,1,2024-10-24
50,551,28,5,2024-12-08
51,272,17,3,2025-05-19
52,903,9,2,2024-11-19
53,379,37,2,2024-12-12
54,449,70,3,2024-11-01
55,627,84,5,2025-05-03
56,9,86,5,2025-07-30
57,307,85,1,2025-09-05
58,962,18,3,2024-12-24
59,119,14,5,2024-10-27
60,160,35,3,2025-06-21
61,620,27,3,2025-01-20
62,209,88,3,2025-06-20
63,518,63,3,2024-12-27
64,928,7,1,2024-12-02
65,650,55,3,2024-12-29
66,46,1,3,2025-01-11
67,790,17,3,2025-03-12
68,166,95,4,2025-05-19
69,565,91,4,2025-01-06
70,575,2,1,2025-07-11
71,78,89,2,2024-10-28
72,559,5,3,2025-09-19
73,597,71,2,2025-02-21
74,441,17,1,2024-11-29
75,316,47,1,2025-03-09
76,921,46,2,2025-04-01
77,699,32,1,2025-06-24
78,363,100,5,2025-07-04
79,906,53,5,2025-07-25
80,768,20,2,2025-07-16
81,886,21,2,2024-10-06
82,903,53,1,2025-02-15
