product_id,name,category,price
1,Ahead,Sports,60.11
2,Address,Sports,141.14
3,Green,Clothing,74.07
4,Tend,Electronics,339.97
5,Dark,Toys,48.03
6,Response,Home,20.73
7,Relationship,Electronics,113.23
8,At,Toys,303.0
9,Discussion,Toys,103.42
10,Us,Sports,352.16
11,Big,Home,114.12
12,Subject,Toys,142.7
13,Thing,Electronics,380.61
14,Then,Clothing,350.58
15,Red,Books,142.55
16,Computer,Clothing,478.82
17,Shake,Books,55.59
18,Computer,Home,52.87
19,Another,Books,303.84
20,Just,Electronics,366.22
21,Music,Toys,66.79
22,Box,Home,44.01
23,Team,Books,415.56
24,General,Toys,443.3
25,Future,Books,290.79
26,Or,Sports,39.43
27,Produce,Sports,117.81
28,Customer,Books,492.68
29,Probably,Clothing,433.91
30,Despite,Home,142.6
31,World,Sports,417.88
32,Number,Clothing,188.24
33,Indicate,Clothing,336.74
34,Wrong,Sports,468.64
35,Later,Sports,40.34
36,Camera,Sports,89.71
37,Each,Sports,126.18
38,Different,Home,192.83
39,Born,Sports,345.64
40,Heavy,Clothing,343.88
41,Game,Electronics,118.38
42,Consumer,Electronics,403.5
43,Administration,Home,137.53
44,Interest,Clothing,457.0
45,Ready,Toys,438.8
46,Four,Books,110.25
47,Actually,Home,200.84
48,Improve,Sports,232.13
49,Difference,Books,74.12
50,Low,Sports,282.88
51,Discussion,Books,374.77
52,Attorney,Home,449.42
53,Really,Home,184.19
54,Teacher,Clothing,257.22
55,Family,Electronics,379.11
56,Rate,Electronics,80.66
57,Price,Clothing,397.08
58,Home,Home,300.22
59,Animal,Home,193.9
60,Audience,Home,266.91
61,Value,Toys,431.09
62,Discover,Electronics,341.74
63,Item,Electronics,342.45
64,Fish,Toys,376.68
65,Speak,Sports,173.39
66,Place,Books,220.21
67,Money,Home,6.61
68,Blue,Sports,438.55
69,Seem,Books,486.08
70,Not,Clothing,256.3
71,Strong,Electronics,435.91
72,Win,Books,421.63
73,To,Toys,306.44
74,Outside,Clothing,190.09
75,Congress,Clothing,271.99
76,Enter,Toys,459.65
77,Beyond,Toys,165.46
78,Plan,Electronics,60.37
79,Garden,Books,439.97
80,Program,Books,123.53
81,Same,Clothing,439.61
82,Important,Electronics,47.4
83,Resource,Home,408.93
84,Window,Toys,384.09
85,Spend,Clothing,331.58
86,Rule,Toys,86.74
87,Cell,Toys,436.85
88,Go,Home,482.36
89,Continue,Toys,378.86
90,Prove,Sports,104.57
91,Sort,Books,202.5
92,Usually,Sports,326.69
93,Rise,Home,450.31
94,Friend,Home,64.9
95,Today,Clothing,36.69
96,Reflect,Electronics,296.21
97,Meet,Clothing,296.28
98,Author,Electronics,40.14
99,Government,Sports,34.14
100,Affect,Electronics,453.18
