order_date,total_orders,total_quantity
2024-09-29,10,28
2024-09-30,8,12
2024-10-01,17,50
2024-10-02,14,44
2024-10-03,12,33
2024-10-04,15,45
2024-10-05,9,33
2024-10-06,18,52
2024-10-07,14,37
2024-10-08,8,29
2024-10-09,15,47
2024-10-10,12,38
2024-10-11,14,40
2024-10-12,9,22
2024-10-13,15,39
2024-10-14,7,25
2024-10-15,14,44
2024-10-16,8,16
2024-10-17,5,19
2024-10-18,19,47
2024-10-19,12,48
2024-10-20,9,30
2024-10-21,13,41
2024-10-22,13,34
2024-10-23,11,40
2024-10-24,13,41
2024-10-25,12,38
2024-10-26,14,43
2024-10-27,19,45
2024-10-28,13,40
2024-10-29,20,63
2024-10-30,9,30
2024-10-31,10,29
2024-11-01,17,53
2024-11-02,14,38
2024-11-03,17,58
2024-11-04,17,50
2024-11-05,19,62
2024-11-06,13,36
2024-11-07,11,32
2024-11-08,16,54
2024-11-09,14,47
2024-11-10,16,53
2024-11-11,12,32
2024-11-12,13,38
2024-11-13,17,58
2024-11-14,13,42
2024-11-15,16,48
2024-11-16,9,21
2024-11-17,10,28
2024-11-18,16,51
2024-11-19,15,47
2024-11-20,19,60
2024-11-21,14,42
2024-11-22,11,37
2024-11-23,22,58
2024-11-24,16,55
2024-11-25,19,63
2024-11-26,9,35
2024-11-27,15,53
2024-11-28,12,46
2024-11-29,11,36
2024-11-30,13,38
2024-12-01,8,22
2024-12-02,13,40
2024-12-03,22,69
2024-12-04,18,51
2024-12-05,20,57
2024-12-06,18,48
2024-12-07,12,29
2024-12-08,12,41
2024-12-09,14,44
2024-12-10,19,61
2024-12-11,9,24
2024-12-12,15,43
2024-12-13,15,35
2024-12-14,9,22
2024-12-15,13,42
2024-12-16,9,28
2024-12-17,14,49
2024-12-18,13,43
2024-12-19,11,30
2024-12-20,18,44
2024-12-21,9,30
2024-12-22,10,24
2024-12-23,7,18
2024-12-24,8,29
2024-12-25,6,19
2024-12-26,15,48
2024-12-27,19,57
2024-12-28,12,36
2024-12-29,15,35
2024-12-30,13,44
2024-12-31,12,36
2025-01-01,13,39
2025-01-02,11,35
2025-01-03,18,63
2025-01-04,10,30
2025-01-05,11,33
2025-01-06,10,27
2025-01-07,18,40
2025-01-08,20,62
2025-01-09,11,29
2025-01-10,11,35
2025-01-11,10,26
2025-01-12,12,36
2025-01-13,16,59
2025-01-14,19,63
2025-01-15,10,35
2025-01-16,14,47
2025-01-17,18,50
2025-01-18,15,48
2025-01-19,11,37
2025-01-20,14,44
2025-01-21,21,58
2025-01-22,13,44
2025-01-23,17,51
2025-01-24,20,57
2025-01-25,18,41
2025-01-26,14,43
2025-01-27,12,28
2025-01-28,13,38
2025-01-29,13,42
2025-01-30,13,44
2025-01-31,15,40
2025-02-01,14,48
2025-02-02,8,25
2025-02-03,17,45
2025-02-04,14,35
2025-02-05,18,56
2025-02-06,13,48
2025-02-07,11,34
2025-02-08,17,49
2025-02-09,12,36
2025-02-10,8,14
2025-02-11,16,45
2025-02-12,23,60
2025-02-13,21,58
2025-02-14,14,40
2025-02-15,23,57
2025-02-16,19,56
2025-02-17,7,21
2025-02-18,11,24
2025-02-19,15,54
2025-02-20,14,40
2025-02-21,16,45
2025-02-22,17,43
2025-02-23,14,41
2025-02-24,8,23
2025-02-25,15,44
2025-02-26,12,31
2025-02-27,13,45
2025-02-28,10,26
2025-03-01,16,57
2025-03-02,20,63
2025-03-03,11,30
2025-03-04,16,62
2025-03-05,13,33
2025-03-06,15,44
2025-03-07,13,40
2025-03-08,15,47
2025-03-09,9,23
2025-03-10,16,48
2025-03-11,7,26
2025-03-12,17,45
2025-03-13,6,17
2025-03-14,18,56
2025-03-15,12,32
2025-03-16,10,32
2025-03-17,14,43
2025-03-18,12,42
2025-03-19,14,40
